id,identification,id_category,sex,name
1,1,1,Male,
2,2,1,Female,
3,3,1,Male,
4,4,1,Female,
5,5,1,Male,
6,6,1,Female,
7,7,1,Female,
8,8,1,Male,
9,9,1,Female,
10,10,1,Male,
11,11,1,Female,
12,12,1,Male,
13,13,1,Male,
14,14,1,Female,
15,15,1,Male,
16,16,1,Male,
17,17,1,Male,
18,18,1,Female,
19,19,1,Female,
20,20,1,Female,
21,21,1,Male,
22,22,1,Female,
23,23,1,Male,
24,24,1,Female,
25,25,1,Female,
26,26,1,Male,
27,27,1,Male,
28,28,1,Female,
29,29,1,Male,
30,30,1,Male,
31,31,1,Male,
32,32,1,Male,
33,33,1,Male,
34,34,1,Male,
35,35,1,Female,
36,36,1,Male,
37,37,1,Male,
38,38,1,Male,
39,39,1,Female,
40,40,1,Male,
41,41,1,Unknown,
42,42,1,Male,
43,43,1,Male,
44,44,1,Female,
45,45,1,Male,
46,46,1,Unknown,
47,47,1,Male,
48,48,1,Female,
49,49,1,Female,
50,50,1,Male,
51,51,1,Male,
52,52,1,Female,
53,53,1,Male,
54,54,1,Male,
55,55,1,Female,
56,56,1,Female,
57,57,1,Female,
58,58,1,Male,
59,59,1,Male,
60,60,1,Female,
61,61,1,Unknown,
62,62,1,Female,
63,63,1,Female,
64,64,1,Female,
65,65,1,Female,
66,66,1,Male,
67,67,1,Female,
68,68,1,Female,
69,69,1,Male,
70,70,1,Female,
71,71,1,Male,
72,72,1,Female,
73,73,1,Male,
74,74,1,Female,
75,75,1,Male,
76,76,1,Female,689
77,77,1,Male,
78,78,1,Female,691
79,79,1,Male,
80,80,1,Male,
81,81,1,Female,
82,82,1,Female,
83,83,1,Male,
84,84,1,Male,CLAUDIO
85,85,1,Female,
86,86,1,Male,
87,87,1,Male,
88,88,1,Male,
89,89,1,Female,
90,90,1,Female,
91,91,1,Female,
92,92,1,Female,
93,93,1,Male,
94,94,1,Female,
95,95,1,Female,
96,96,1,Male,
97,97,1,Male,
98,98,1,Female,
99,99,1,Male,
100,100,1,Female,
101,101,1,Unknown,
102,102,1,Unknown,
103,103,1,Male,
104,104,1,Male,
105,105,1,Female,MARIA
106,106,1,Male,
107,107,1,Male,
108,108,1,Male,
109,109,1,Male,
110,110,1,Female,GERTIE
111,111,1,Female,
112,112,1,Male,
113,113,1,Male,
114,114,1,Male,
115,115,1,Male,
116,116,1,Male,
117,117,1,Female,
118,118,1,Male,
119,119,1,Male,
120,120,1,Unknown,
121,121,1,Female,
122,122,1,Male,
123,123,1,Male,
124,124,1,Male,
125,125,1,Female,ESME
126,126,1,Male,
127,127,1,Female,
128,128,1,Male,
129,129,1,Male,
130,130,1,Male,
131,131,1,Male,
132,132,1,Male,
133,133,1,Female,
134,134,1,Male,
135,135,1,Female,
136,136,1,Male,
137,137,1,Male,
138,138,1,Female,
139,139,1,Male,
140,140,1,Female,TINA
141,141,1,Female,
142,142,1,Male,CAPTAIN
143,143,1,Female,
144,144,1,Male,
145,145,1,Male,
146,146,1,Female,
147,147,1,Male,
